REFERENCIA,Cliente,TipoVehiculo,numVehiculo,ESTATUS/ FOLIO SI O NO,scac,todFecha,todTiempo,tnfFecha,tnfTiempo,dxsFecha,dxsTiempo,dlyFecha,dlyTiempo,dlyTipo,afsFecha,afsTiempo,dpuFecha,dpuTiempo,exrFecha,exr Hora,exrNotas,eccFecha,eccTiempo,ilrFecha,ilrTiempo,ilrtipo,iltNotas,clrFecha,clrTiempo,st1Fecha,st1Tiempo,st1Notas,tscFecha,tscTiempo,tscNotas
92B1208257,AS MAQUILA,TRAILER,53-008,,CJRA,10/16/24,10:18,10/16/24,09:59,10/16/24,10:18,,,,10/16/24,13:00,10/16/24,13:35,,,,,,,,,,,,,,,,,
92B1208563,WHIRLPOOL/COMP,PLACA,WL63026,,CJRA,10/16/24,13:40,10/16/24,13:20,10/16/24,15:40,,,,,,,,,,,,,,,,,,,,,,,,
92B1208727,AS MAQUILA,TRAILER,53-539,,CJRA,10/16/24,13:51,10/16/24,13:43,10/16/24,14:38,,,,,,,,,,,,,,,,,,,,,,,,
92B1208940,AS MAQUILA,TRAILER,ND72417,,GALA,10/16/24,11:58,10/16/24,11:21,10/16/24,12:08,,,,10/16/24,13:07,10/16/24,13:39,,,,10/16/24,14:53,,,,,10/16/24,14:59,,,,,,
92B1208526,WHIRLPOOL/COMP,PLACA,414AP4,,GALA,10/16/24,09:15,10/16/24,09:10,10/16/24,09:08,,,,10/16/24,14:18,,,,,,,,,,,,,,,,,,,
92B1208528,WHIRLPOOL/COMP,PLACA,WV-1746-A,,RAYC,10/15/24,17:23,10/15/24,17:23,10/15/24,17:39,,,,10/16/24,09:22,10/16/24,09:47,,,,10/16/24,11:02,,,,,10/16/24,11:16,,,,10/16/24,12:16,MARCO SALINAS
92B1209630,IRONWOOD,PLACA,WC0251B,,RAYC,10/15/24,18:15,10/15/24,18:15,10/15/24,18:15,,,,10/16/24,08:15,10/16/24,08:39,,,,10/16/24,08:51,,,,,10/16/24,09:03,,,,10/16/24,09:51,REYES HERNANDEZ
92B1208712,BESTOP,PLACAS,WC0251B,no asignada,RAYC,10/16/24,09:49,10/16/24,09:10,10/16/24,09:50,,,,,,,,,,,,,,,,,,,,,,,,
92B1208723,AS MAQUILA,TRAILER,ND72415,,SBCV,10/16/24,12:03,10/16/24,11:21,10/16/24,12:08,,,,10/16/24,13:50,10/16/24,14:21,,,,10/16/24,15:29,,,,,,,,,,,,
92B1209752,AS MAQUILA,TRAILER,CS5334,,SBCV,10/16/24,14:28,10/16/24,13:43,10/16/24,14:31,,,,,,,,,,,,,,,,,,,,,,,,
92B1209902,INTERMARK,TRAILER,MRVC24214,,SBCV,10/16/24,14:46,10/16/24,14:20,10/16/24,14:50,,,,,,,,,,,,,,,,,,,,,,,,
92B1209335,AS MAQUILA,TRAILER,58279S,120726445,TFBB,10/16/24,10:10,10/16/24,09:59,10/16/24,11:33,,,,10/16/24,14:10,10/16/24,14:30,,,,10/16/24,14:56,,,,,10/16/24,15:15,,,,10/16/24,15:30,TSI
92B1209375,AS MAQUILA,TRAILER,52714,120733239,TFBB,10/16/24,12:13,10/16/24,12:00,10/16/24,12:38,,,,,,,,,,,,,,,,,,,,,,,,
92B1209376,AS MAQUILA,TRAILER,58622S,120734251,TFBB,10/16/24,12:13,10/16/24,12:00,10/16/24,12:38,,,,,,,,,,,,,,,,,,,,,,,,
92B1209488,AS MAQUILA,TRAILER,59095S,120750885,TFBB,10/16/24,13:57,10/16/24,13:43,10/16/24,15:36,,,,,,,,,,,,,,,,,,,,,,,,
92B1209646,PACCAR,TRAILER,18031,,TFSQ,10/15/24,09:08,10/15/24,09:00,10/16/24,11:19,,,,10/16/24,12:44,10/16/24,13:37,,,,10/16/24,14:33,,,,,10/16/24,14:45,,,,10/16/24,15:15,JAIME
92B1208469,WHIRLPOOL/PLANTAS,TRAILER,HGIU642496,,TFSQ,10/15/24,15:28,10/15/24,15:00,10/15/24,17:59,,,,10/16/24,12:24,10/16/24,12:55,,,,10/16/24,14:01,,,,,10/16/24,14:11,,,,10/16/24,14:33,RUBEN
92B1208963,WHIRLPOOL/PLANTAS,TRAILER,52534,,TFSQ,10/15/24,15:42,10/15/24,15:10,10/16/24,09:27,,,,10/16/24,10:00,10/16/24,10:50,,,,10/16/24,11:40,,,,,10/16/24,11:46,,,,10/16/24,12:26,ROBERTO
92B1207717,WHIRLPOOL/PLANTAS,TRAILER,9629,,TFSQ,10/14/24,15:54,10/14/24,15:30,10/14/24,16:52,,,,10/16/24,06:43,10/16/24,08:11,,,,10/16/24,08:30,,,,,10/16/24,08:35,,,,10/16/24,09:04,URIEL F
92B1208964,WHIRLPOOL/PLANTAS,TRAILER,HGIU529736,,TFSQ,10/15/24,17:07,10/15/24,16:40,10/15/24,17:33,,,,10/16/24,06:22,10/16/24,06:46,,,,10/16/24,07:20,,,,,10/16/24,07:38,,,,10/16/24,08:45,S/N
92B1208269,WHIRLPOOL/PLANTAS,TRAILER,HGIU509307,,TFSQ,10/15/24,12:24,10/15/24,12:10,10/15/24,14:12,,,,10/16/24,07:29,10/16/24,07:47,,,,10/16/24,08:02,,,,,10/16/24,08:15,,,,10/16/24,08:39,RUBEN
92B1208937,WHIRLPOOL/PLANTAS,TRAILER,60651,,TFSQ,10/15/24,13:24,10/15/24,13:00,10/15/24,14:20,,,,10/16/24,13:28,10/16/24,13:49,,,,10/16/24,14:32,,,,,10/16/24,14:40,,,,10/16/24,15:27,JOSE
92B1209796,PACCAR,TRAILER,370686,,TFSQ,10/16/24,11:58,10/16/24,11:10,10/16/24,13:07,,,,10/16/24,14:14,10/16/24,14:37,,,,10/16/24,15:18,,,,,,,,,,,,
92B1208470,WHIRLPOOL/PLANTAS,TRAILER,HGIU500300,,TFSQ,10/15/24,15:25,10/15/24,15:00,10/15/24,16:44,,,,10/16/24,13:50,10/16/24,14:08,,,,,,,,,,,,,,,,,
92B1207721,WHIRLPOOL/PLANTAS,TRAILER,690794,,TFSQ,10/14/24,16:10,10/14/24,15:50,10/14/24,17:30,,,,,,,,,,,,,,,,,,,,,,,,
92B1208965,WHIRLPOOL/PLANTAS,TRAILER,LM-0377,,TFSQ,10/15/24,12:24,10/15/24,12:10,10/15/24,14:23,,,,,,,,,,,,,,,,,,,,,,,,
92B1208543,WHIRLPOOL/PLANTAS,TRAILER,HGIU515894,,TFSQ,10/15/24,13:03,10/15/24,12:55,10/15/24,14:45,10/14/24,19:15,luz fundida,,,,,,,,,,,,,,,,,,,,,
92B1207915,WHIRLPOOL/PLANTAS,TRAILER,HGIU511127,,TFSQ,10/15/24,15:25,10/15/24,15:00,10/15/24,16:41,,,,,,,,,,,,,,,,,,,,,,,,
92B1208560,WHIRLPOOL/PLANTAS,TRAILER,HGIU526530,,TFSQ,10/15/24,15:42,10/15/24,15:10,10/15/24,16:44,,,,,,,,,,,,,,,,,,,,,,,,
92B1208924,WHIRLPOOL/PLANTAS,TRAILER,3637,,TFSQ,10/15/24,11:05,10/15/24,10:59,10/16/24,09:32,,,,,,,,,,,,,,,,,,,,,,,,
92B1209424,WHIRLPOOL/PLANTAS,TRAILER,8409,,TFSQ,10/16/24,12:36,10/16/24,12:33,10/16/24,13:15,,,,,,,,,,,,,,,,,,,,,,,,
92B1209368,WHIRLPOOL/PLANTAS,TRAILER,3920,,TFSQ,10/16/24,12:36,10/16/24,12:33,10/16/24,13:14,,,,,,,,,,,,,,,,,,,,,,,,
92B1208927,WHIRLPOOL/PLANTAS,TRAILER,9605,,TFSQ,10/16/24,12:36,10/16/24,12:33,10/16/24,13:15,,,,,,,,,,,,,,,,,,,,,,,,
92B1209884,WHIRLPOOL/COMP,TRAILER,60405,,TFSQ,10/16/24,13:18,10/16/24,12:50,10/16/24,14:05,,,,,,,,,,,,,,,,,,,,,,,,
92B1209363,WHIRLPOOL/PLANTAS,TRAILER,80659,,TFSQ,10/16/24,13:19,10/16/24,12:55,10/16/24,14:06,,,,,,,,,,,,,,,,,,,,,,,,
92B1209567,WHIRLPOOL/PLANTAS,TRAILER,672026,,TFSQ,10/16/24,13:19,10/16/24,12:55,10/16/24,14:05,,,,,,,,,,,,,,,,,,,,,,,,
92B1208272,WHIRLPOOL/PLANTAS,TRAILER,LM-0301,,TFSQ,10/16/24,13:19,10/16/24,12:55,10/16/24,14:05,,,,,,,,,,,,,,,,,,,,,,,,
92B1209354,WHIRLPOOL/PLANTAS,TRAILER,HGIU641839,,TFSQ,10/16/24,13:32,10/16/24,13:10,10/16/24,14:04,,,,,,,,,,,,,,,,,,,,,,,,
92B1209810,PACCAR,TRAILER,46351,,TFSQ,10/16/24,12:45,10/16/24,12:10,,,,,,,,,,,,,,,,,,,,,,,,,,
92B1207086,RPI DE MEXICO,TRAILER,42-AK-9J,,TJOM,10/15/24,15:53,10/15/24,15:20,10/15/24,16:47,,,,10/16/24,11:50,10/16/24,12:09,,,,10/16/24,12:56,,,,,10/16/24,13:39,,,,10/16/24,15:33,DANIEL HERRERA
92B1208529,WHIRLPOOL/COMP,PLACA,41AK9J,,TJOM,10/15/24,13:33,10/15/24,13:00,10/15/24,17:40,,,,10/16/24,08:20,10/16/24,09:03,,,,10/16/24,10:12,,,,,10/16/24,10:28,,,,10/16/24,12:10,MARCOS SALINAS
92B1209569,AS MAQUILA,TRAILER,53-549,,GALA,10/16/24,15:24,10/16/24,15:00,10/16/24,15:52,,,,,,,,,,,,,,,,,,,,,,,,
92B1208319,AS MAQUILA,TRAILER,52745,,ZTFBB,10/15/24,17:05,10/15/24,17:52,,,,,,,,,,,,,,,,,,,,,,,,,,
92B1209899,WHIRLPOOL/COMP,PLACA,13-EM-7W,,ZGALA,10/16/24,15:57,10/16/24,15:30,,,,,,,,,,,,,,,,,,,,,,,,,,
92B1209895,WHIRLPOOL/COMP,TRAILER,60208,,ZTFSQ,10/16/24,16:09,10/16/24,15:40,,,,,,,,,,,,,,,,,,,,,,,,,,
